EstablishmentNumber,StartDate,EnterpriseNumber
2.000.156.034,01-07-1964,0403.629.767
2.000.157.024,31-10-1962,0404.770.607
2.000.157.123,01-05-1907,0404.770.607
2.000.157.816,01-11-1964,0405.233.534
2.000.157.915,01-01-1965,0573.534.670
2.000.158.707,01-10-1969,0601.013.879
2.000.159.202,01-01-1965,0403.882.165
2.000.161.675,08-10-1999,0406.004.386
2.000.161.873,01-11-1964,0404.096.555
2.000.162.368,01-01-1965,0403.744.979
2.000.164.150,01-07-1964,0401.683.136
2.000.164.546,01-01-1965,0591.611.611
2.000.164.645,01-01-1965,0711.091.756
2.000.166.031,01-03-1965,0588.367.059
2.000.166.328,01-01-1965,0583.303.065
2.000.166.427,01-01-1965,0591.550.540
2.000.166.823,01-01-1965,0588.010.634
2.000.167.318,01-03-1967,0404.929.468
2.000.168.803,15-02-1978,0692.050.062
2.000.171.474,01-01-1965,0601.019.324
2.000.171.672,01-08-1955,0401.465.776
2.000.172.563,01-01-1961,0400.357.305
2.000.173.256,01-01-1965,0402.671.348
2.000.173.355,01-01-1965,0402.671.348
2.000.173.454,01-01-1965,0402.671.348
2.000.173.553,15-09-1978,0402.671.348
2.000.173.652,12-01-1999,0402.671.348
2.000.173.751,01-01-1965,0402.671.348
2.000.173.850,01-11-1971,0402.671.348
2.000.173.949,12-01-1999,0402.671.348
2.000.174.048,01-01-1965,0402.671.348
2.000.174.147,01-01-1965,0402.671.348
2.000.174.246,12-03-1979,0402.671.348
2.000.174.345,01-12-1964,0402.734.496
2.000.174.642,19-01-2001,0405.642.815
2.000.176.622,01-01-1965,0530.467.858
2.000.176.721,05-07-1980,0530.467.858
2.000.178.305,01-01-1965,0709.822.442
2.000.180.778,01-01-1965,0576.739.333
2.000.182.164,18-06-2002,0405.772.873
2.000.183.649,01-01-1965,0405.907.683
2.000.184.045,01-03-1964,0403.286.408
2.000.184.144,01-12-1967,0401.058.772
2.000.185.134,01-02-1967,0403.718.156
2.000.185.332,01-03-1967,0404.992.420
2.000.186.718,20-03-1985,0426.924.615
2.000.187.807,01-01-1965,0404.946.690
2.000.188.005,01-11-1964,0404.950.056
2.000.188.401,01-01-1965,0404.904.427
2.000.188.696,01-01-1965,0404.542.062
2.000.188.993,01-02-1965,0404.605.707
2.000.189.488,01-02-1965,0401.158.841
2.000.189.587,01-05-1969,0401.158.841
2.000.189.686,01-11-1964,0401.530.807
2.000.189.785,01-01-1967,0403.720.730
2.000.190.280,01-01-1967,0403.817.433
2.000.190.973,01-11-1961,0404.477.330
2.000.191.369,01-01-1965,0400.014.934
2.000.192.755,01-03-1967,0403.691.729
2.000.194.537,01-01-1965,0585.695.304
